"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013723","1929-09","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","625.0","0","93.7",",0","12",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","2",",0","","","","","19290920",",,0","19290930","+,,0","19290930","+,,0","","","19290930",",,0","19290906",",,0","3.9",",0,20,","0",",,0,30,+","0",",,0,30,+","30.5",",,0,30,","33.3",",0,06,","30.9","0","29.2",",0","79.0",",,,0","","","","","","","","","0",",,,0","20.48",",0","25.88",",,,0","15.08",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1929-10","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","625.6","0","0.6",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","","","","","19291026",",,0","19291031","+,,0","19291031","+,,0","","","19291001",",,0","19291016",",,0","0.0",",0,26,","0",",,0,31,+","0",",,0,31,+","103.1",",,0,01,","25.6",",0,16,","198.6","0","167.7",",0","167.7",",,,0","","","","","","","","","0",",,,0","12.94",",0","19.62",",,,0","6.26",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1929-11","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","631.2","0","5.6",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","12",",0","1",",0","6",",0","0",",0","","","","","19291130",",,0","19291124","+,,0","19291123",",,0","","","19291112",",,0","19291102",",,0","-12.2",",0,30,","0",",T,0,24,+","8",",,0,23,","29.0",",,0,12,","26.1",",0,02,","481.0","0","282.4",",0","107.6",",,,0","","","","","","","","","11",",,,0","9.11",",0","14.02",",,,0","4.19",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1929-12","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","631.2","0","0.0",",0","10",",0","7",",0","1",",0","4",",0","1",",0","0",",0","20",",0","2",",0","2",",0","0",",0","","","","","19291201",",,0","19291225","+,,0","19291223",",,0","","","19291202",",,0","19291215","+,,0","-12.8",",0,01,","25",",,0,25,+","33",",,0,23,","36.3",",,0,02,","21.7",",0,15,+","910.9","0","429.9",",0","78.8",",,,0","","","","","","","","","51",",,,0","4.46",",0","10.51",",,,0","-1.58",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-01","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","13",",0","8",",0","0",",0","3",",0","2",",0","0",",0","19",",0","1",",0","2",",0","0",",0","","","","","19300131",",,0","19300130",",,0","19300129",",,0","","","19300114",",,0","19300110",",,0","-15.0",",0,31,","203",",,0,30,","97",",,0,29,","21.8",",,0,14,","22.2",",0,10,","1347.3","0","436.4",",0","76.8",",,,0","","","","","","","","","204",",,,0","4.25",",0","10.20",",,,0","-1.69",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-02","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","1.4","0","1.4",",0","3",",0","3",",0","0",",0","1",",0","0",",0","0",",0","16",",0","0",",0","6",",0","0",",0","","","","","19300201",",,0","19300201",",,0","19300215",",,0","","","19300213",",,0","19300225",",,0","-11.7",",0,01,","25",",,0,01,","0",",T,0,15,","15.5",",,0,13,","27.2",",0,25,","1664.6","0","317.3",",0","31.7",",,,0","","","","","","","","","0",",T,,0","7.05",",0","14.75",",,,0","-0.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-03","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","1.4","0","0.0",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","14",",0","0",",0","5",",0","0",",0","","","","","19300303",",,0","19300331","+,,0","19300322",",,0","","","19300307",",,0","19300313",",,0","-8.9",",0,03,","0",",,0,31,+","13",",,0,22,","30.5",",,0,07,","22.8",",0,13,","2004.0","0","339.4",",0","56.1",",,,0","","","","","","","","","13",",,,0","7.39",",0","14.16",",,,0","0.61",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-04","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","17.0","0","15.6",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","12",",0","2",",0","","","","","19300401",",,0","19300430","+,,0","19300430","+,,0","","","19300406",",,0","19300412",",,0","-1.7",",0,01,","0",",,0,30,+","0",",,0,30,+","18.5",",,0,06,","34.4",",0,12,","2149.9","0","145.9",",0","44.9",",,,0","","","","","","","","","0",",,,0","13.99",",0","21.48",",,,0","6.49",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-05","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","90.5","0","73.5",",0","8",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","","","19300526",",,0","19300531","+,,0","19300531","+,,0","","","19300506",",,0","19300505",",,0","5.6",",0,26,","0",",,0,31,+","0",",,0,31,+","48.3",",,0,06,","32.2",",0,05,","2168.5","0","18.6",",0","153.5",",,,0","","","","","","","","","0",",,,0","20.10",",0","27.12",",,,0","13.09",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-06","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","214.4","0","123.9",",0","13",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","19300601",",,0","19300630","+,,0","19300630","+,,0","","","19300607",",,0","19300624",",,0","5.6",",0,01,","0",",,0,30,+","0",",,0,30,+","30.7",",,0,07,","37.8",",0,24,","2172.0","0","3.5",",0","67.7",",,,0","","","","","","","","","0",",,,0","22.34",",0","29.45",",,,0","15.24",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-07","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","456.4","0","242.0",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","","","19300715",",,0","19300731","+,,0","19300731","+,,0","","","19300717",",,0","19300729","+,,0","15.0",",0,15,","0",",,0,31,+","0",",,0,31,+","21.1",",,0,17,","37.2",",0,29,+","0.3","0","0.3",",0","86.8",",,,0","","","","","","","","","0",",,,0","26.13",",0","32.66",",,,0","19.60",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-08","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","616.0","0","159.6",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","","","19300824",",,0","19300831","+,,0","19300831","+,,0","","","19300807",",,0","19300805",",,0","10.6",",0,24,","0",",,0,31,+","0",",,0,31,+","15.0",",,0,07,","38.3",",0,05,","2.0","0","1.7",",0","57.1",",,,0","","","","","","","","","0",",,,0","23.43",",0","30.55",",,,0","16.31",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-09","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","775.7","0","159.7",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","","","","","19300930",",,0","19300930","+,,0","19300930","+,,0","","","19300919",",,0","19300903",",,0","6.1",",0,30,","0",",,0,30,+","0",",,0,30,+","20.6",",,0,19,","36.7",",0,03,","5.3","0","3.3",",0","45.6",",,,0","","","","","","","","","0",",,,0","23.55",",0","29.56",",,,0","17.53",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-10","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","781.8","0","6.1",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","14",",0","0",",0","","","","","19301026",",,0","19301031","+,,0","19301031","+,,0","","","19301029",",,0","19301017","+,,0","-5.0",",0,26,","0",",,0,31,+","0",",,0,31,+","15.2",",,0,29,","27.8",",0,17,+","182.0","0","176.7",",0","27.9",",,,0","","","","","","","","","0",",,,0","12.83",",0","19.62",",,,0","6.04",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-11","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","781.8","0","0.0",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","1",",0","0",",0","","","","","19301128",",,0","19301130","+,,0","19301126","+,,0","","","19301104",",,0","19301118",",,0","-10.6",",0,28,","0",",,0,30,+","0",",T,0,26,+","24.9",",,0,04,","22.8",",0,18,","512.8","0","330.8",",0","77.7",",,,0","","","","","","","","","0",",T,,0","7.31",",0","12.45",",,,0","2.16",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1930-12","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","781.8","0","0.0",",0","4",",0","4",",0","2",",0","14",",0","1",",0","0",",0","25",",0","3",",0","0",",0","0",",0","","","","","19301225",",,0","19301217",",,0","19301217",",,0","","","19301217",",,0","19301210",",,0","-15.6",",0,25,","356",",,0,17,","363",",,0,17,","38.6",",,0,17,","18.3",",0,10,","1055.2","0","542.4",",0","98.0",",,,0","","","","","","","","","363",",,,0","0.84",",0","6.25",",,,0","-4.58",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-01","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","5",",0","0",",0","3",",0","2",",0","0",",0","25",",0","1",",0","0",",0","0",",0","","","","","19310116",",,0","19310114",",,0","19310114",",,0","","","19310105",",,0","19310125",",,0","-16.1",",0,16,","76",",,0,14,","76",",,0,14,","13.5",",,0,05,","18.9",",0,25,","1531.8","0","476.6",",0","38.3",",,,0","","","","","","","","","127",",,,0","2.96",",0","9.42",",,,0","-3.50",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-02","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","7",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","0",",0","0",",0","","","","","19310215","+,,0","19310228","+,,0","19310228","+,,0","","","19310228",",,0","19310218",",,0","-6.7",",0,15,+","0",",,0,28,+","0",",,0,28,+","10.2",",,0,28,","17.2",",0,18,","1897.3","0","365.5",",0","44.9",",,,0","","","","","","","","","0",",,,0","5.28",",0","12.10",",,,0","-1.54",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-03","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","6",",0","1",",0","0",",0","1",",0","0",",0","18",",0","0",",0","0",",0","0",",0","","","","","19310311",",,0","19310331","+,,0","19310304",",,0","","","19310322",",,0","19310314",",,0","-6.1",",0,11,","0",",,0,31,+","76",",,0,04,","29.2",",,0,22,","20.0",",0,14,","2282.5","0","385.2",",0","89.7",",,,0","","","","","","","","","76",",,,0","5.91",",0","11.59",",,,0","0.23",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-04","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","0.0","0","0.0",",0","14",",0","10",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","14",",0","0",",0","","","","","19310428","+,,0","19310430","+,,0","19310406",",,0","","","19310404",",,0","19310414","+,,0","0.0",",0,28,+","0",",,0,30,+","0",",T,0,06,","22.6",",,0,04,","27.2",",0,14,+","2457.6","0","175.1",",0","108.7",",,,0","","","","","","","","","0",",T,,0","12.50",",0","18.85",",,,0","6.14",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-05","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","34.9","0","34.9",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","19310524",",,0","19310531","+,,0","19310531","+,,0","","","19310521",",,0","19310529",",,0","3.3",",0,24,","0",",,0,31,+","0",",,0,31,+","31.0",",,0,21,","31.1",",0,29,","2510.4","0","52.8",",0","151.7",",,,0","","","","","","","","","0",",,,0","17.76",",0","24.17",",,,0","11.34",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-06","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","191.9","0","157.0",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","19310609",",,0","19310630","+,,0","19310630","+,,0","","","19310615",",,0","19310621",",,0","7.8",",0,09,","0",",,0,30,+","0",",,0,30,+","25.1",",,0,15,","36.7",",0,21,","2517.9","0","7.5",",0","57.7",",,,0","","","","","","","","","0",",,,0","23.32",",0","30.33",",,,0","16.30",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-07","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","445.2","0","253.3",",0","12",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","19310711",",,0","19310731","+,,0","19310731","+,,0","","","19310724",",,0","19310702",",,0","17.2",",0,11,","0",",,0,31,+","0",",,0,31,+","27.7",",,0,24,","36.7",",0,02,","0.0","0","0.0",",0","132.6",",,,0","","","","","","","","","0",",,,0","26.50",",0","32.47",",,,0","20.54",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-08","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","600.4","0","155.2",",0","16",",0","13",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","","","","","19310824",",,0","19310831","+,,0","19310831","+,,0","","","19310822",",,0","19310809","+,,0","10.6",",0,24,","0",",,0,31,+","0",",,0,31,+","75.2",",,0,22,","33.3",",0,09,+","4.5","0","4.5",",0","261.4",",,,0","","","","","","","","","0",",,,0","23.20",",0","28.51",",,,0","17.88",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-09","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","753.8","0","153.4",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","9",",0","","","","","19310930",",,0","19310930","+,,0","19310930","+,,0","","","19310903",",,0","19310923",",,0","5.6",",0,30,","0",",,0,30,+","0",",,0,30,+","7.4",",,0,03,","36.1",",0,23,","18.3","0","13.8",",0","13.0",",,,0","","","","","","","","","0",",,,0","22.99",",0","29.59",",,,0","16.38",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013723","1931-10","36.0969","-79.94316","275.0","GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US","","","","","","","","","","","773.5","0","19.7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","24",",0","0",",0","","","","","19311018",",,0","19311031","+,,0","19311031","+,,0","","","19311029",",,0","19311006",",,0","-2.2",",0,18,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,29,","31.7",",0,06,","117.7","0","99.4",",0","11.4",",,,0","","","","","","","","","0",",,,0","15.76",",0","23.96",",,,0","7.56",",,,0","","","","","","","","","","","","","","","","","","","","","",""
